ts_local,run_id,account,NetLiquidation,TotalCashValue,GrossPositionValue,UnrealizedPnL,RealizedPnL,AvailableFunds,BuyingPower,EquityWithLoanValue
2026-01-25T00:46:54-05:00,516141bf-7e48-4900-bd6c-3f1a158dd3c3,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T01:11:17-05:00,71b8d05c-1e43-4c18-bd20-784c15a96157,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T08:30:05-05:00,8c8c0b50-6f59-452b-8435-d751e3d9b1ba,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T08:35:02-05:00,a646cfe8-d6ef-4100-b4e1-508d294db846,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T08:40:02-05:00,d5757856-6440-421e-9fe1-b6483e7f8c19,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T08:45:02-05:00,839a71c8-599d-409c-8955-d06b557022fc,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T08:50:02-05:00,2802a326-3453-433f-91ad-7ac7b44b5e8e,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T08:55:02-05:00,66bbd8f8-b5ca-42c3-98e4-4e32458603dc,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:00:02-05:00,6b0e6223-d2b0-43ed-965f-b098ebe9c601,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:05:02-05:00,85cfabdc-6197-4f69-9a95-ddeda7bc11f7,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:10:02-05:00,75e825fb-defe-46a5-9435-fef863531044,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:15:02-05:00,2fd540dd-9d57-4538-b3c2-515b741b49a7,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:20:02-05:00,7de891af-70aa-4e3d-8945-c2db7ac369eb,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:25:02-05:00,12bfc4ec-6b97-4200-9962-06b68905b28d,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:30:02-05:00,bc63927c-175e-41eb-98fc-3437621c6270,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:35:02-05:00,fb503860-b6a2-4306-8e14-d82c2ea84bfd,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:40:02-05:00,ffbd7559-b23e-4653-ba6c-b3f6173330c3,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
2026-01-25T09:45:02-05:00,71046238-b5d9-4f75-acfb-69fa19601e61,DUO585405,1001204.78,999801.18,194.70,-4.12,0.00,999931.63,3999726.52,999995.88
