date,open,high,low,close,volume
2025-11-04,241.79,244.06,240.99,241.2,22226029.0
2025-11-05,241.95,245.73,241.64,244.68,26595064.0
2025-11-06,244.26,244.79,240.0,240.35,29034149.0
2025-11-07,238.41,241.66,236.27,241.61,38875179.0
2025-11-10,245.01,245.24,242.25,244.03,22586497.0
2025-11-11,243.37,244.74,242.52,244.24,21155904.0
2025-11-12,244.84,246.38,243.33,243.64,26077457.0
2025-11-13,241.83,242.68,235.84,236.79,49437361.0
2025-11-14,233.34,238.73,233.27,237.48,42972999.0
2025-11-17,236.45,237.84,231.75,232.76,43636073.0
2025-11-18,231.31,235.08,230.95,233.47,48364738.0
2025-11-19,233.79,236.37,232.43,233.43,46023447.0
2025-11-20,237.24,239.1,228.9,229.11,73444155.0
2025-11-21,229.96,237.11,229.58,235.6,66877048.0
2025-11-24,235.96,240.39,235.48,239.9,24008519.0
2025-11-25,240.74,245.55,240.04,245.13,34399546.0
2025-11-26,245.05,248.83,244.77,247.3,25946762.0
2025-11-28,248.01,248.76,247.07,248.75,13221698.0
2025-12-01,245.57,247.69,245.33,245.62,27315597.0
2025-12-02,247.37,247.37,245.12,245.17,24053540.0
2025-12-03,245.97,249.84,245.48,249.63,23626202.0
2025-12-04,248.97,252.66,248.54,251.82,31060494.0
2025-12-05,251.49,252.66,250.27,250.77,28708702.0
2025-12-08,252.69,252.77,250.18,250.87,21408472.0
2025-12-09,250.25,252.95,250.1,251.39,17435775.0
2025-12-10,250.89,256.57,250.54,254.81,33178112.0
2025-12-11,254.65,258.01,254.32,257.8,27173358.0
2025-12-12,257.95,258.2,253.44,253.85,32685051.0
2025-12-15,255.55,255.69,251.74,251.93,25069591.0
2025-12-16,250.33,252.16,248.47,249.9,20882630.0
2025-12-17,250.37,252.16,246.69,247.24,22673652.0
2025-12-18,250.18,251.36,248.21,248.71,24518908.0
2025-12-19,249.27,251.4,249.06,250.79,18955084.0
2025-12-22,252.27,255.12,252.2,253.58,24163345.0
2025-12-23,252.42,253.22,251.46,252.08,16451960.0
2025-12-24,251.97,252.86,251.12,252.71,7543032.0
2025-12-26,252.59,252.75,250.39,251.42,12870445.0
2025-12-29,250.27,251.5,249.35,249.88,18899006.0
2025-12-30,249.97,250.15,247.95,248.03,17105743.0
2025-12-31,248.17,248.28,246.01,246.16,23177764.0
2026-01-02,247.62,249.09,245.86,248.78,30977303.0
2026-01-05,249.79,253.55,249.57,252.73,26737862.0
2026-01-06,252.24,256.25,251.52,256.08,28412105.0
2026-01-07,256.4,256.8,253.97,255.48,23424348.0
2026-01-08,254.7,258.93,254.36,258.27,27525196.0
2026-01-09,259.58,261.56,258.09,260.23,25495930.0
2026-01-12,259.28,261.66,258.24,261.5,19795525.0
2026-01-13,262.42,262.89,260.46,261.35,24204120.0
2026-01-14,261.13,263.46,260.19,263.19,27167034.0
2026-01-15,264.06,267.05,263.73,265.51,21791815.0
2026-01-16,265.88,267.22,264.71,265.76,20256770.0
2026-01-20,261.14,265.08,261.06,262.58,30971248.0
2026-01-21,264.64,268.59,262.92,267.79,35989528.0
2026-01-22,269.83,271.6,269.42,269.79,19743495.0
2026-01-23,269.04,269.05,264.46,264.81,28671157.0
2026-01-26,265.07,266.69,263.49,263.98,20632051.0
2026-01-27,264.05,264.86,262.66,264.73,18050670.0
2026-01-28,265.98,266.68,262.56,263.3,24092897.0
2026-01-29,264.07,265.06,259.41,263.37,27655839.0
2026-01-30,261.07,262.98,258.27,258.62,19077796.0
