date,open,high,low,close,volume
2025-11-04,623.28,626.95,618.45,619.25,43293311.0
2025-11-05,618.5,626.6,617.21,623.28,33404819.0
2025-11-06,621.79,622.04,610.3,611.67,53751711.0
2025-11-07,608.31,609.95,598.67,609.74,61173875.0
2025-11-10,618.92,624.31,616.89,623.23,38662269.0
2025-11-11,620.58,622.72,617.52,621.57,32154547.0
2025-11-12,624.84,624.86,617.81,621.08,35426453.0
2025-11-13,617.54,618.12,606.08,608.4,52804682.0
2025-11-14,599.55,613.35,597.17,608.86,57103517.0
2025-11-17,606.3,612.48,599.87,603.66,49895412.0
2025-11-18,599.62,602.31,591.34,596.31,61582847.0
2025-11-19,597.07,606.16,594.59,599.87,52213086.0
2025-11-20,611.62,614.03,584.75,585.67,89791470.0
2025-11-21,587.47,596.98,580.74,590.07,72148419.0
2025-11-24,595.28,606.68,595.16,605.16,43844305.0
2025-11-25,603.51,610.27,597.32,608.89,45144935.0
2025-11-26,612.51,616.19,610.39,614.27,32030648.0
2025-11-28,616.11,619.25,615.41,619.25,16689080.0
2025-12-01,613.61,619.45,612.52,617.17,30767553.0
2025-12-02,619.46,623.75,617.59,622.0,43716423.0
2025-12-03,619.62,624.22,618.03,623.52,35414115.0
2025-12-04,624.92,624.94,619.54,622.94,37633116.0
2025-12-05,624.38,628.92,623.71,625.48,41362417.0
2025-12-08,627.18,628.84,621.69,624.28,33632076.0
2025-12-09,623.04,625.87,621.62,625.05,29753080.0
2025-12-10,623.84,629.21,620.99,627.61,42687776.0
2025-12-11,623.82,625.78,617.72,625.58,45937448.0
2025-12-12,622.08,623.54,611.36,613.62,59944004.0
2025-12-15,618.39,618.42,609.32,610.54,35063032.0
2025-12-16,608.26,613.51,606.91,611.75,39280352.0
2025-12-17,613.06,613.65,600.28,600.41,51141040.0
2025-12-18,609.75,612.93,606.92,609.11,58636294.0
2025-12-19,611.96,617.62,611.87,617.05,35080208.0
2025-12-22,621.36,621.65,617.77,619.21,33164824.0
2025-12-23,618.2,622.41,617.78,622.11,29800844.0
2025-12-24,622.0,624.28,621.72,623.93,13050923.0
2025-12-26,624.67,625.52,623.14,623.89,22410378.0
2025-12-29,620.13,622.78,618.73,620.87,24604977.0
2025-12-30,619.84,622.18,619.21,619.43,23446256.0
2025-12-31,619.65,619.96,614.05,614.31,29118649.0
2026-01-02,620.09,622.85,610.15,613.12,48623139.0
2026-01-05,619.3,620.81,616.72,617.99,35679293.0
2026-01-06,619.23,624.03,618.54,623.42,33514032.0
2026-01-07,623.04,627.94,622.56,624.02,35471231.0
2026-01-08,623.03,623.42,617.8,620.47,38775888.0
2026-01-09,621.41,627.89,619.06,626.65,37474231.0
2026-01-12,622.3,628.85,622.26,627.17,28423760.0
2026-01-13,627.27,629.47,623.69,626.24,33637954.0
2026-01-14,622.24,623.45,614.56,619.55,57422131.0
2026-01-15,626.61,630.0,620.75,621.78,39492362.0
2026-01-16,625.51,626.08,618.88,621.26,43956764.0
2026-01-20,610.52,615.06,607.05,608.06,62838698.0
2026-01-21,609.47,620.42,607.86,616.28,63448101.0
2026-01-22,622.4,622.46,617.78,620.76,32433582.0
2026-01-23,619.71,625.4,618.65,622.72,35230316.0
2026-01-26,623.21,627.61,622.12,625.46,26798070.0
2026-01-27,628.91,632.05,627.34,631.13,28682544.0
2026-01-28,635.46,636.6,631.81,633.22,36634223.0
2026-01-29,632.67,633.67,618.27,629.43,58410062.0
2026-01-30,625.7,628.26,621.52,621.79,29685786.0
