date,open,high,low,close,volume
2025-11-04,676.11,679.96,674.58,675.24,55056677.0
2025-11-05,674.98,680.86,674.17,677.58,50279981.0
2025-11-06,676.47,677.38,668.72,670.31,63995727.0
2025-11-07,667.91,671.08,661.2,670.97,77825379.0
2025-11-10,677.24,682.18,675.03,681.44,55985746.0
2025-11-11,679.94,683.57,678.73,683.0,41836057.0
2025-11-12,684.81,684.96,680.94,683.38,45339346.0
2025-11-13,680.51,680.86,670.52,672.04,72681503.0
2025-11-14,665.4,675.66,663.26,671.93,72013314.0
2025-11-17,669.7,673.71,662.17,665.67,68985857.0
2025-11-18,662.09,665.12,655.86,660.08,89196241.0
2025-11-19,660.78,667.34,658.74,662.63,70883022.0
2025-11-20,672.91,675.56,651.89,652.53,125931678.0
2025-11-21,655.03,664.55,650.85,659.03,85226739.0
2025-11-24,662.69,670.06,661.59,668.73,54377101.0
2025-11-25,668.63,676.21,664.48,675.02,61578110.0
2025-11-26,677.6,681.7,676.72,679.68,51409678.0
2025-11-28,680.85,683.67,680.5,683.39,29457765.0
2025-12-01,678.8,682.99,678.74,680.27,43413514.0
2025-12-02,681.92,683.82,679.32,681.53,46744365.0
2025-12-03,680.57,684.91,679.69,683.89,41469111.0
2025-12-04,685.3,685.37,681.34,684.39,44867945.0
2025-12-05,685.45,688.39,684.58,685.69,46497834.0
2025-12-08,686.6,686.64,681.57,683.63,40322324.0
2025-12-09,683.16,685.39,682.59,683.04,41731871.0
2025-12-10,682.56,688.97,681.31,687.57,65180166.0
2025-12-11,685.11,689.25,682.16,689.17,61971853.0
2025-12-12,688.17,688.88,679.17,681.76,78695213.0
2025-12-15,685.72,685.76,679.25,680.73,66626702.0
2025-12-16,679.22,681.08,674.98,678.87,72057082.0
2025-12-17,679.89,680.44,671.19,671.4,74936493.0
2025-12-18,677.6,680.74,674.9,676.47,83374722.0
2025-12-19,676.6,681.09,676.47,680.59,68125514.0
2025-12-22,683.93,685.36,682.68,684.83,47937101.0
2025-12-23,683.93,688.2,683.87,687.96,46033836.0
2025-12-24,687.95,690.83,687.8,690.38,25999569.0
2025-12-26,690.64,691.66,689.27,690.31,32576889.0
2025-12-29,687.55,689.2,686.07,687.85,44132415.0
2025-12-30,687.45,688.56,686.58,687.01,34365448.0
2025-12-31,687.13,687.36,681.71,681.92,51325618.0
2026-01-02,685.71,686.87,679.82,683.17,69823325.0
2026-01-05,686.54,689.43,686.37,687.72,54699915.0
2026-01-06,687.93,692.32,687.78,691.81,55143640.0
2026-01-07,692.2,693.96,689.32,689.58,60137909.0
2026-01-08,688.81,690.62,687.49,689.51,52088820.0
2026-01-09,690.65,695.31,689.18,694.07,58418134.0
2026-01-12,690.68,696.09,690.63,695.16,49779065.0
2026-01-13,695.52,696.09,691.35,693.77,61850017.0
2026-01-14,691.0,691.72,686.04,690.36,70566261.0
2026-01-15,694.57,695.45,691.25,692.24,60104274.0
2026-01-16,693.67,694.25,690.1,691.66,53992796.0
2026-01-20,681.49,684.77,676.57,677.58,81774019.0
2026-01-21,679.65,688.74,678.13,685.4,96207208.0
2026-01-22,689.85,691.13,686.92,688.98,55963617.0
2026-01-23,688.15,690.96,687.16,689.23,48307299.0
2026-01-26,690.47,694.13,689.92,692.73,44645827.0
2026-01-27,694.18,696.53,693.57,695.49,40181885.0
2026-01-28,697.06,697.84,693.94,695.42,46863286.0
2026-01-29,696.35,697.06,684.83,694.04,81117277.0
2026-01-30,691.78,694.21,688.73,689.23,31764750.0
